Total_Stops,Price,journey_month,journey_day,dep_hour,dep_mins,arr_hour,arr_mins,dur_hours,dur_minutes,dur_total,air_Air India,air_Business Class Flights,air_GoAir,air_IndiGo,air_Jet Airways,air_Multiple carriers,air_Premium Economy flights,air_SpiceJet,air_Vistara,src_Chennai,src_Delhi,src_Kolkata,src_Mumbai,dest_Cochin,dest_Delhi,dest_Hyderabad,dest_Kolkata,dest_New Delhi
1,19225,3,6,7,0,13,15,6,15,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14924,6,3,7,5,19,0,11,55,715,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9646,5,21,7,5,18,10,11,5,665,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,8714,3,15,6,45,15,15,8,30,510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12373,5,18,20,55,19,0,22,5,1325,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3383,5,6,11,10,13,55,2,45,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,13062,3,21,9,0,21,0,12,0,720,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,3527,3,24,5,45,8,35,2,50,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3943,5,27,4,0,6,50,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4667,5,3,11,40,13,55,2,15,135,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,6117,5,15,19,0,11,5,16,5,965,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,11150,6,27,23,5,19,0,19,55,1195,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,7202,3,9,11,0,14,15,3,15,195,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12121,5,1,9,35,10,55,25,20,1520,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4377,3,24,22,20,1,10,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3943,6,18,21,15,0,15,3,0,180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4483,4,3,23,55,2,45,2,50,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,14231,3,24,19,45,12,0,16,15,975,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,17345,3,1,8,50,23,55,15,5,905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,7414,3,6,7,5,9,20,2,15,135,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,8073,5,6,19,0,1,30,6,30,390,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,12395,3,6,15,40,16,45,25,5,1505,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,8366,6,6,9,25,21,50,12,25,745,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5117,4,3,6,5,9,25,27,20,1640,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12524,6,3,8,45,19,0,10,15,615,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,7191,5,15,15,0,1,30,10,30,630,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3687,5,24,7,5,9,20,2,15,135,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,5894,6,24,10,35,21,0,10,25,625,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,5403,4,24,9,45,12,35,2,50,170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,3625,5,6,13,55,15,25,1,30,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,10861,5,21,5,55,19,15,13,20,800,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6297,3,12,13,20,15,35,2,15,135,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,5678,6,1,7,5,8,30,1,25,85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9134,3,9,5,45,8,15,26,30,1590,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10791,6,24,11,40,19,0,7,20,440,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,12819,6,24,23,5,12,35,13,30,810,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6893,3,21,5,5,10,5,5,0,300,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,7240,3,9,9,50,12,35,2,45,165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3898,4,3,11,40,14,30,2,50,170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4049,4,3,6,25,7,55,1,30,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,10262,6,15,17,30,12,35,19,5,1145,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3332,3,21,8,20,10,35,2,15,135,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,10844,6,9,21,10,12,0,14,50,890,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,7229,3,24,19,55,22,35,2,40,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,13941,5,6,6,30,4,40,22,10,1330,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5894,6,27,11,25,21,0,9,35,575,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10197,5,18,9,0,19,0,10,0,600,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,13712,3,6,14,5,11,25,21,20,1280,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5636,6,24,2,0,7,25,5,25,325,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13014,6,6,9,40,4,25,18,45,1125,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7064,4,1,8,25,20,45,12,20,740,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10703,5,24,20,25,14,25,18,0,1080,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,9646,5,27,13,15,22,30,9,15,555,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,17057,3,6,2,15,13,20,11,5,665,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,13817,3,12,16,55,10,25,17,30,1050,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,13748,3,6,5,55,19,15,13,20,800,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4880,4,21,20,45,23,20,2,35,155,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3540,6,21,5,15,7,40,2,25,145,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,3257,5,15,5,55,8,35,2,40,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,6478,6,3,19,50,22,50,3,0,180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,8040,6,18,7,5,8,30,1,25,85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,14300,6,12,20,0,12,35,16,35,995,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,14781,5,15,8,25,20,45,12,20,740,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14939,6,9,20,0,8,15,12,15,735,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10262,6,24,20,55,4,25,7,30,450,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6528,5,12,14,35,14,35,24,0,1440,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6121,5,1,6,10,8,55,2,45,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,13029,5,18,19,30,4,25,8,55,535,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,11421,3,27,11,40,18,50,7,10,430,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,7574,3,27,4,45,19,15,14,30,870,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,11596,5,9,12,55,19,15,30,20,1820,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,15129,5,24,23,5,19,0,19,55,1195,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13555,3,18,14,5,5,5,15,0,900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5780,4,12,18,55,21,50,2,55,175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,9397,5,12,20,20,9,5,12,45,765,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,17024,3,6,18,15,4,25,10,10,610,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5281,6,27,7,0,12,55,5,55,355,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10348,5,18,7,5,22,30,15,25,925,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,12677,3,6,17,20,9,25,16,5,965,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,15147,3,3,15,25,1,35,10,10,610,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,4668,6,12,7,0,9,40,2,40,160,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,15554,5,9,7,5,19,0,11,55,715,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3971,4,9,5,55,8,35,2,40,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3100,5,3,15,0,16,25,1,25,85,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9663,5,6,20,0,10,5,14,5,845,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,27430,3,1,23,0,19,15,20,15,1215,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3540,5,12,5,15,7,40,2,25,145,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,10676,5,21,12,0,11,10,23,10,1390,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13044,6,12,14,5,8,15,18,10,1090,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14388,5,6,20,0,12,0,16,0,960,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3943,6,24,4,0,6,50,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3597,6,3,14,45,17,5,2,20,140,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,5932,3,21,11,50,19,50,8,0,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10262,6,15,11,30,4,25,16,55,1015,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6216,5,12,14,40,17,50,3,10,190,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,4804,6,15,20,25,23,10,2,45,165,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14067,5,21,11,30,1,30,14,0,840,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,15129,5,18,19,10,19,0,23,50,1430,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13376,6,6,6,45,4,25,21,40,1300,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2,10441,6,27,22,0,19,15,21,15,1275,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4030,5,24,6,0,8,45,2,45,165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,17024,3,3,8,0,18,50,10,50,650,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13017,4,9,17,30,1,30,8,0,480,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,6686,6,6,23,30,7,45,8,15,495,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5636,6,15,2,0,7,25,5,25,325,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6442,6,9,7,35,16,10,8,35,515,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9486,5,21,13,5,0,55,11,50,710,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,10844,5,21,20,0,23,35,27,35,1655,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,15318,6,3,20,0,4,25,8,25,505,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5117,4,3,12,30,9,25,20,55,1255,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6147,6,24,15,10,20,0,4,50,290,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7005,6,9,12,50,21,0,8,10,490,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,3873,4,3,22,20,0,40,2,20,140,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,9270,3,21,18,25,18,50,24,25,1465,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3898,6,27,11,40,14,30,2,50,170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,14781,5,12,8,25,20,45,12,20,740,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,8586,5,24,20,0,8,15,12,15,735,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,10697,5,9,8,20,7,55,23,35,1415,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,14300,6,27,20,0,12,35,16,35,995,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,8855,3,3,18,55,21,45,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10844,5,12,16,30,18,15,25,45,1545,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,17024,3,6,2,15,4,25,26,10,1570,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9314,5,1,9,35,14,25,28,50,1730,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4777,3,24,0,40,3,25,2,45,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7662,6,9,12,0,13,15,25,15,1515,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6442,5,9,6,50,16,10,9,20,560,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5264,6,12,8,45,13,15,4,30,270,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,12898,5,27,13,0,4,25,15,25,925,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6092,3,3,13,55,15,25,1,30,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,3311,5,21,5,55,8,35,2,40,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,6540,3,27,19,15,4,25,9,10,550,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3419,5,27,1,30,4,15,2,45,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5177,4,3,14,0,12,35,22,35,1355,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,8246,4,18,18,5,21,10,3,5,185,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,14676,6,9,9,35,21,5,11,30,690,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13587,6,27,11,30,21,0,9,30,570,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,9663,5,6,21,10,9,20,12,10,730,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13044,6,12,16,30,10,5,17,35,1055,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5073,4,3,20,25,1,30,5,5,305,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9345,5,21,17,0,18,50,25,50,1550,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,9663,5,6,14,5,10,5,20,0,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14277,5,21,8,0,21,0,13,0,780,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,10262,6,1,10,0,4,25,18,25,1105,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,5678,3,27,19,35,21,5,1,30,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,13727,5,15,16,0,1,30,9,30,570,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,9663,5,6,20,0,12,0,16,0,960,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3858,5,12,14,45,17,5,2,20,140,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,4812,6,24,8,45,13,15,4,30,270,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,5775,6,27,21,50,3,35,5,45,345,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10539,6,6,9,35,9,45,24,10,1450,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4804,6,3,15,30,18,5,2,35,155,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3383,6,12,11,10,13,55,2,45,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,8738,3,3,12,10,17,5,4,55,295,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7165,3,27,5,15,6,50,25,35,1535,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6412,6,24,16,10,22,30,6,20,380,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,8016,6,27,18,55,22,0,3,5,185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,11087,3,12,20,35,15,15,18,40,1120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3543,6,27,9,45,12,0,2,15,135,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,12471,6,12,16,30,4,40,12,10,730,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10262,6,24,9,0,4,25,19,25,1165,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4441,3,18,13,20,16,10,2,50,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12537,3,27,7,5,15,30,8,25,505,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,10091,3,24,22,25,7,40,9,15,555,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6961,6,3,21,5,23,55,2,50,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,5013,4,24,5,35,8,50,3,15,195,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6934,5,18,5,10,8,0,2,50,170,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10877,6,3,6,40,19,0,12,20,740,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,7229,4,18,15,15,18,10,2,55,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,7048,3,27,16,0,1,35,9,35,575,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4878,6,27,17,0,19,35,2,35,155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,10844,5,21,14,5,23,35,9,30,570,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,15129,5,18,23,5,4,25,29,20,1760,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3943,5,12,0,30,3,25,2,55,175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5583,6,6,6,5,11,20,5,15,315,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,9646,6,6,7,5,16,10,9,5,545,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,7677,6,3,8,30,19,15,10,45,645,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,6842,6,1,5,10,10,5,4,55,295,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4995,6,24,8,45,10,15,1,30,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9555,6,9,7,10,18,50,11,40,700,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,4077,6,1,1,30,4,15,2,45,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,7229,5,12,15,15,18,10,2,55,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,12192,6,9,9,0,19,0,10,0,600,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,5911,4,12,10,0,12,45,2,45,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,8372,6,12,9,0,19,15,10,15,615,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4995,3,18,7,10,8,35,1,25,85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,14323,5,9,10,0,19,15,9,15,555,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,13014,6,9,5,30,4,25,22,55,1375,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13591,6,6,14,25,19,15,28,50,1730,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,18799,3,3,5,25,18,50,37,25,2245,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3943,4,27,23,30,2,20,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1965,5,21,5,45,7,15,1,30,90,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
